Latitude,Longitude,Name,
-123.193386,39.14584,Manor Oaks Overnighter RV Park,(707) 462-0529
-113.162391,37.220602,North Creek BLM,(435) 688-3200
-109.814254,37.234961,Valley of the Gods BLM,(435) 587-1500
-102.818768,33.049458,Yoakum County Park (FREE),(806) 592-3166
-73.403879,44.030349,10 Acres Campground and RV park,(802) 759-2662
-75.99723,44.27688,1000 Island Campground,(315) 686-2600
-76.054182,44.350034,1000 Islands Camping Resort,(613)659-3058
-75.8824,44.47491,1000 Islands/Mallorytown KOA,(613)923-5339
-97.958373,26.145829,1015 RV Park,(956) 968-7516
-87.909323,39.347529,12 Oaks Campground,(217) 382-3396
-112.624234,46.009376,2 Bar Lazy H RV Campgrounds,(406) 782-5464
-95.413716,34.200329,2 J's Baldwood RV Park,(580) 587-2520
-122.713952,39.021977,20 Oaks Cottages and RV,(707) 998-3012
-96.333871,30.72537,21 Palms RV Park,(979) 218-4298
-81.562023,28.260184,21 Palms RV Resort,(407) 397-9110
-102.447974,44.068341,24 Express and Campground $5,(605) 993-3007
-90.957144,36.110505,2-J RV Park,(870) 886-5810
-96.225933,31.23695,3 Cedar Crossing Campground & RV Park,(903) 529-2062
-103.108756,48.168542,3 D's Campground,(701) 568-3382
-71.057997,43.011192,3 Ponds Campground,(603) 679-5350
-90.570599,38.820882,370 Lakeside Park RV Campground,(636) 387-5253
-97.72366,32.45923,377 Market Place RV Park,(817) 579-1315
-86.414147,39.56495,3-point Lake Campground,(317) 831-5120
-99.41404,37.9178,4 Aces RV Park,(620) 659-2321
-123.766654,49.052265,4 All Season RV Campground,(250) 245-3000
-107.67443,38.02483,4 J RV Park  Campground,(970) 325-4418
-97.0621,37.631796,4 Mile Creek Resort and Campground,(316) 733-O459
-97.42809,25.93847,4 Seasons Mobile Home Park RV Resort,(956) 831-4918
-99.29352,26.87627,4 Seasons RV Park,(956) 765-4241
-111.430267,49.670244,40-Mile Park,(403) 867-2181
-120.3987,38.04347,49er RV Ranch,(209) 532-4978
-93.85406,30.045318,4c's RV Park,(409) 735-8580
-98.495162,45.490922,4-H Campground,(605) 626-7108
-97.41806,29.511684,4L RV Ranch,(830) 672-6057
-90.968287,41.06363,4th Pumping Station Campground (County),(319) 753-8260
-95.30856,32.42305,5 Star RV Park,(903) 593-6815
-115.3996,47.38663,50000 Silver Dollar Casino Free electric hookup,(406) 678-4242
-108.090076,36.813192,505 Performance Campground,(505) 333-2600
-96.997785,34.50643,50's Bungalows Cottages and Hwy 7 RV Park,(580) 622-5499
-95.385292,40.756856,59ER Motel and Campgrounds,(712) 246-2925
-84.60884,41.88866,6 Lakes Campground,(517) 439-5660
-95.97131,28.99898,60 North RV Park,(979) 245-6605
-116.98204,60.000578,60th Parallel Territorial Park Campground (Unserviced),(867) 875-5570
-95.383424,32.359677,64 West RV Park,(903) 262-5891
-96.076874,36.048809,66 Mobile Home and RV Park,(918) 224-1536
-91.394857,32.846299,7 Oaks RV Campground Campground,(318) 428-5282
-82.662524,28.382546,7 Oaks RV Park Sales,(727) 862-3016
-105.412944,40.408509,7 Pines,(970) 586-3809
-78.542844,35.685443,70-East Mobile Acres  RV Park,(919) 772-6568
