Longitude,Latitude,Name
-85.72891,37.5332,Abraham Lincoln Birthplace NHP - 2995 Lincoln Farm Rd Hodgenville KY 42748>270-358-3137 
-85.7360229,37.5308876,Abraham Lincoln Birthplace NHP - Visitor Center
-88.12466,41.3896,Abraham Lincoln National Cemetery NHS - 20953 W Hoff Rd Elwood IL 60421>815-423-9958 
-68.04773,44.454,Acadia NP - 25 Visitor Center Rd Bar Harbor ME 04609>207-288-4988 
-68.2459488,44.4084893,Acadia NP - Visitor Center
-71.0099,42.25639,Adams NHP - 135 Adams St Quincy MA 02169>617-773-1177 
-71.0112381,42.2569504,Adams NHP - Visitor Center
-134.15976,57.61806,Admiralty Island NM - Skagway Hoonah Angoon AK 99820>907-586-8800 
-77.02439,38.91639,African American Civil War Memorial - 1000 U St NW DC 20009>202-667-2667 
-73.99235,40.71367,African Burial Ground NM - 105 E Broadway NY NY 10013>212-637-2019 
-103.7340546,42.4261513,Agate Fossil Beds NM - Visitors Center
-103.75363,42.42428,Agate Fossil Beds NM - Whistle Creek NE 69346>308-668-2211 
-112.07504,34.15417,Agua Fria NM - Cordes Junction Cordes Lakes AZ 85324>623-580-5500 
-122.45993,37.77,AIDS Memorial Grove - Bowling Green Dr San Francisco CA 94102>415-765-0498 
-155.67977,18.91111,Ala Kahakai NHT - 73-4786 Kanalani St Suite 14 Kailua-Kona HI 96740>808-326-6012 
-156.85952,59.00472,Alagnak River NP - AK 99625>907-246-3305 
-166.52562,53.88889,Aleutian World War II National Historic Area - E Point Dr Unalaska AK 99692 
-101.66593,35.57139,Alibates Flint Quarries NM - Fritch TX 79036>806-857-3151 
-78.53881,40.45417,Allegheny Portage Railroad NHS - 110 Federal Park Rd Gallitzin PA 16641>814-886-6150 
-78.5498505,40.4571609,Allegheny Portage Railroad NHS - Visitor Center
-102.329167,38.049722,Amache NHS - 23900 County Road FF Granada CO 81041
145.71691,15.2181,American Memorial Park - Industrial Dr Garapan Saipan Northern Mariana Islands>670-234-7207 
-101.04843,29.43667,Amistad NRA - 4121 Veterans Blvd Del Rio TX 78840>830-775-7491 
-101.0559692,29.4499512,Amistad NRA - Amistad Visitor Center
-100.9060898,29.4289837,Amistad NRA - Headquarters Visitor Center
-76.89869,38.79999,Anacostia Park -1900 Anacostia Dr SE Washington DC 20020>202-472-3884 
-84.12964,32.20358,Andersonville National Cemetery NHS - Andersonville GA 31711>229-924-0343 
-84.1256,32.19759,Andersonville NHS - Andersonville Civil War Prison Andersonville GA 31711>229-924-0343 
-84.1330795,32.2037125,Andersonville NHS - Visitor Center
-82.83634,36.15527,Andrew Johnson National Cemetery NHS - 204 Ponderosa Dr Greeneville TN 37743 
-82.8381042,36.1536064,Andrew Johnson National Cemetery NHS -Visitor Center
-82.83384,36.15833,Andrew Johnson NHS - 101 N College St Greeneville TN 37743>423-638-3551 
-158.14843,56.9,Aniakchak NM and Preserve - King Salmon AK 99613>907-246-3305 
-77.73775,39.47914,Antietam National Cemetery NHS - 5923 Mummas Ln Keedysville MD 21756 
-77.7444153,39.4742164,Antietam National Cemetery NHS - Visitor Center
-77.73816,39.4803,Antietam NBS - 5831 Dunker Church Rd Sharpsburg MD 21782>301-432-5124 
-90.66273,46.96528,Apostle Islands NL - 415 Washington Ave Bayfield WI 54814>715-779-3398 
-74.643881,41.329228,Appalachian NST - CT MA MD ME NJ NY PA TN VA WV>304-535-6278
-78.79954,37.37845,Appomattox Court House NHP - 113 National Park Dr Appomattox VA 24522>434-352-8987 
-78.796051,37.3774223,Appomattox Court House NHP - Visitor Center
-109.56333,38.77,Arches NP- Arches Entrance Rd Moab - UT 84532>435-719-2299 
-109.6195831,38.6163902,Arches NP- Arches National Park Visitor Center
-91.34218,34.02361,Arkansas Post NMEM - 1741 Old Post Rd Gillett AR 72055>870-548-2207 
-91.345108,34.0165749,Arkansas Post NMEM - Visitor Center
-77.0726,38.88275,Arlington House NMEM - 321 Sherman Dr Ft Myer VA 22211>703-235-1530 
-77.06992,38.87657,Arlington National Cemetery - 1 Memorial Dr Fort Myer VA 22211>703-271-7727 
-75.20689,38.08332,Assateague Island NS - 7206 NS Ln Berlin MD 21811>410-641-1441 
-75.155243,38.2488175,Assateague Island NS - Barrier Island Visitor Center
-75.1525574,38.2083168,Assateague Island NS - Entrance Station
-75.3436355,37.889286,Assateague Island NS - Tom's Cove Visitor Center
-107.99653,36.83583,Aztec Ruins NM - 84 County Rd 2900 Aztec NM 87410>505-334-6174 
-108.0002289,36.8345375,Aztec Ruins NM - Aztec Ruins Visitor Center
-102.43263,43.6504,Badlands NP - 25214 Ben Reifel Pl Interior SD 57750>605-433-5361 
-101.9416199,43.7490959,Badlands NP - Ben Reifel Visitor Center
-101.9571228,43.7419358,Badlands NP - Entrance Station-Interior Entrance
-101.9055786,43.7924347,Badlands NP - Entrance Station-Northeast Entrance
-106.2751465,35.7959823,Badlands NP - Entrance Station-Park Entrance
-102.2379074,43.88554,Badlands NP - Entrance Station-Pinnacles
-102.4964829,43.5115776,Badlands NP - White River Visitor Center
-106.31953,35.77888,Bandelier NM - 15 Entrance Rd Los Alamos NM 87544>505-672-3861 
-106.270813,35.7789917,Bandelier NM - Bandelier National Monument Visitor Center
-115.397222,37.928056,Basin and Range National Monument - NV
-73.96157,40.81333,Battleground National Cemetery - 6625 Georgia Ave NW DC 20240>202-895-6070 
-77.003766,38.892315,Belmont-Paul Women’s Equality NM - 144 Constitution Ave NE Washington DC 20002>202-546-1210
-75.17157,39.95832,Benjamin Franklin NM - 222 N 20th St Philadelphia PA 19103>215-448-1200 
-103.42373,38.04045,Bent's Old Fort NHS - 35110 Colorado 194 La Junta CO 81050>719-383-5010 
-103.434288,38.0446625,Bent's Old Fort NHS - Bent's Old Fort Visitor Center
-164.80713,66.05595,Bering Land Bridge National Preserve - Nome AK 99762>907-443-2522 
-122.766667,39.216667,Berryessa Snow Mountain National Monument -CA
-103.05913,29.81874,Big Bend NP - 1 Headquarters Dr Big Bend National Park TX 79834>432-477-2251 
-103.2076492,29.3223629,Big Bend NP - Big Bend Visitor Center
-103.3009796,29.2700214,Big Bend NP - Chisos Basin Visitor Center
-103.1666718,29.6808586,Big Bend NP - Entrance Station-Entrance
-103.5228272,29.3066272,Big Bend NP - Entrance Station-Entrance
-103.1735916,29.6600322,Big Bend NP - Persimmon Gap Visitor Center
-102.9580383,29.178299,Big Bend NP - Rio Grande Village Visitor Center
